rh_id,n_ref,statut_infos,departement,ville,code_commune,nom,structure_porteuse,code_postal,adresse,adresse_suite,geo_lat,geo_lon,nature_juridique,type_lieu,rattachement,tel_structure,email_structure,site_internet
RH_fiche_108_,,,11,Limoux,,SAPIE,,11300,7 rue du Cougaing,,,,,,SCIC,04 68 74 73 30,sapie@sapie.coop,http://sapie.coop
RH_fiche_109_,,,11,Limoux,,Limouxin,MSA,11300,17 chemin Farinier,,,,,,Opérateur,,,
RH_fiche_110_,,,11,Limoux,,TIERS LIEUX LIMOUX,,11300,7  rue du Cougaing,,,,PRV. SCIC,SCIC SAPIE,,04 68 74 73 30 / 06 27 63 21 28,florence.tholly@sapie.coop,
RH_fiche_111_,,,65,Lourdes,,CCAS Lourdes,,65100,2 Rue de l'Hôtel de Ville,,,,,,Mairie,05 62 94 65 65,,
RH_fiche_112_,,,65,Lourdes,,Centre social Lourdes,,65100,2 Rue de l'Hôtel de Ville,,,,,,FIGO Centre social,05 62 94 65 65,,https://www.lourdes.fr/enfance-jeunesse/l-espace-vie-citoyenne-jeunesse/3079-le-centre-social-jean-zay
RH_fiche_113_,,,65,Lourdes,,SAGV65,,65100,17  avenue Joffre,BP 846,,,,,FIGO Centre social,,,
RH_fiche_114_,,,65,Lourdes,,Cyber-base Lourdes,,65100,,,,,,,,,barmelle@cyber-base.org,
RH_fiche_115_,,,65,Lourdes,,Cyberbase et médiathèque,,65100,place du champ commun,,,,,,,05 62 94 99 42,,
RH_fiche_116_,,,65,Lourdes,,Restos du Cœur,,65100,2 rue du Tydos,,4296028,2 526 948,Association,,,,,
RH_fiche_117_,,,65,Lourdes,,Maison Départementale de la Solidarité,,65100,19 boulevard rue Cazenave,,,,,,,05 31 74 35 60,,
RH_fiche_118_,,,65,Luc,,Luc,,65190,19 rue du Pic du Midi,,4335671,1 623 405,,,,,,
RH_fiche_119_,,,65,Luz Saint Sauveur,,Cyber-base Luz Saint Sauveur,,65120,,,,,,,,,,
RH_fiche_120_,,,65,Luz Saint Sauveur,,Luz-Saint-Sauveur,,65120,Maison Gradet-Poque - Mairie de Luz Saint Sauveur,,,,,,,,,
RH_fiche_121_,,,65,Luz Saint Sauveur,,MSAP,,65120,Maison Gradet Poque,,,,,,,05 62 92 25 50,,
RH_fiche_122_,,,65,Luz Saint Sauveur,,Maison du Parc National et de la Vallée,,65120,24 place St Clément,,,,,,,05 62 92 38 38,,
RH_fiche_123_,,,31,Léguevin,,centre social La Maison des Quartiers,,,,,,,,,FIGO Centre social,,,
RH_fiche_124_,,,31,Lévignac,,centre social Vallée de la Save,,31530,,,,,,,FIGO Centre social,05 62 13 80 20,centre-social.valleesave@save-touch.org,https://www.mairie-levignac.com/centre-social
RH_fiche_125_,,,32,L’isle Jourdain,,L OURS BRUN,,32600,9 Place GAMBETTA,,4318723,3 005 378,PRV. SARL,SOCIETE VBR EVENEMENTS,,0680856559 - 06 11 72 24 20,xavier.roque@laposte.net,
RH_fiche_126_,,,32,L’isle Jourdain,,A.P.I. en Gascogne,,32600,2 Avenue du Courdé,,,,,,FIGO Centre social,,,
RH_fiche_127_,,,32,Masseube,,Val de Gers,Communauté de Communes Val de Gers,32140,16 Avenue Elysée Duffréchou,Ancien couvent,,,,,Collectivité,,,
RH_fiche_128_,,,65,Maubourguet,,Cyber-Base du Val d'Adour,,65700,,,,,,,,,cyberbase@cc-valdadour.com,
RH_fiche_129_,,,65,Maubourguet,,Maubourguet,CC Adour Madiran,65700,179 Place de la Libération,Centre culturel Jean Glavany,,,,,Collectivité,05 62 96 07 93,cyberbase@adour-madiran.fr,
RH_fiche_130_,,,65,Maubourguet,,MSAP,,65700,CAC Jean Glavanny,,,,,,,05 62 96 07 93,,
RH_fiche_131_,,,32,Mauvezin,,Régie Rurale de Services de Fezensaguet,,32120,43  rue Gambetta,,,,,,Association,05 62 06 92 80,regie.mauvezin@cnlrq.org,
RH_fiche_132_,,,31,Merville,,Centre Social de Merville / CCAS,,31330,50 rue du 19 mars 1962,,,,,,FIGO Centre social,05 62 13 40 95,,
RH_fiche_133_,,,32,Mirande,,Télécentre de Mirande,,32300,,,429696,-7 415,,,,,coeur-dastarac@wanadoo.fr,
RH_fiche_134_,,,32,Mirande,,Internet Academy,,32300,,,,,,,,,,
RH_fiche_135_,,,31,Miremont,,Médiathèque,,31190,,Place Carreties,4360542,45 201,,,,05 61 50 67 05,biblio.miremont@wanadoo.fr,
RH_fiche_136_,,,31,Montbrun Bocage,,L'ordinateur facile,,31310,3 rue du Rebarat,,,,Association,,Association,06 51 91 40 96,lordinateurfacile@gmail.com,http://www.lordinateurfacile.fr/
RH_fiche_137_,,,31,Montrejeau,,SARAPP Montrejeau,,31210,,,,,,,,,,
RH_fiche_138_,,,11,Mouthoumet,,Centre social Adhco,,11330,23 rue de la gare,,,,,,Centre social,04 68 70 18 50,adhco.developpement@orange.fr,http://www.adhco.fr/
RH_fiche_139_,,,11,Mouthoumet,,Massif de Mouthoumet,ADHCO CENTRE SOCIAL,11330,23 rue de la gare,,4338747,15 968,,,Association,04 68 70 18 50,adhco.developpement@orange.fr,
RH_fiche_140_,,,31,Muret,,9com9,,31600,,,,,Association,,Association,,,
RH_fiche_141_,,,31,Nailloux,,Nailloux - CC Terres du Lauragais,Communauté de communes,31560,1 rue de la république,,,,,,Collectivité,,,
RH_fiche_142_,,,11,Narbonne,,Ecole régionale deuxieme chance,,11000,,,,,,,,,,
RH_fiche_143_,,,11,Narbonne,,Versus  Internet Café,,11000,,,4341314,1 119 217,,,,,info@versus.fr,
RH_fiche_144_,,,11,Narbonne,,Maison de la l'Emploi et de la Formation,,11000,,,,,,,,,multimedia@mef-narbonnaise.fr,
RH_fiche_145_,,,11,Narbonne,,Aide Mutuelle à l'Insertion,,11000,24 boulevard Frédéric Mistral,,,,,,FIGO Centre social,04 68 65 07 10,ami-aude@orange.fr,https://ami-aude.com/index.html
RH_fiche_146_,,,11,Narbonne,,Centre Social et Culturel Nelson MANDELA,,11000,4 Promenade Emilie Palomo,,,,,,FIGO Centre social,04 68 41 77 26,,https://www.csc-mandela.fr/
RH_fiche_147_,,,11,Narbonne,,Le Lieu Ressources Littoral,,,,,,,,,,,sp-narbonne@aude.pref.gouv.fr,
RH_fiche_148_,,,11,Narbonne,,PIMMS du Narbonnais,Union Nationale des PIMMS,11000,8 avenue du Maréchal Foch,,,,,,PIMMS,04 68 43 68 93,narbonne@pimms.org,
RH_fiche_149_,,,11,Narbonne,,TIERS LIEUX IN’ESS LE GRAND NARBONNE,,11000,30 Avenue Paul Pompidor,,,,PUB. EPCI,CA GRAND NARBONNE,,,l.bullich@legrandnarbonne.com,
RH_fiche_150_,,,11,Narbonne,,FABLAB IN'ESS,,11100,30 avenue Pompidor,,,,PUB. EPCI,C.C GRAND NARBONNE,,,s.sole@legrandnarbonne.com,
RH_fiche_151_,,,11,Narbonne,,INESS GRAND NARBONNE,,,,,,,Collectivites,,Collectivites,,service.accueil-iness@legrandnarbonne.com,
RH_fiche_152_,,,32,Nogaro,,Association CLAN - PIJ,,32110,,,,,,,,,pij32.nogaro@crij.org,
RH_fiche_153_,,,31,Pibrac,,Maison des Initiatives Sociales et Culturelles,,31820,1 Impasse de la Gare,,,,,,FIGO Centre social,,,
RH_fiche_154_,,,65,Pierreffitte Nestalas,,La Poste MSAP,,65260,place Jean Jaures,,,,,,,05 62 92 24 64,msap.pierrefitte-nestalas@laposte.fr,
RH_fiche_155_,,,65,Pierreffitte Nestalas,,bibliothèque,,65260,Marie - 1erue étage  2 avenue Gén leclerc,,,,,,,05 62 92 75 46,alpsv@orange.fr,
RH_fiche_156_,,,65,Pierreffitte Nestalas,,Pierrefitte-Nestalas,La Poste,65260,Place Jean Jaurès,,,,,,La Poste,,,
RH_fiche_157_,,,32,Plaisance,,EREF - PIJ,,32160,,,,,,,,,,
RH_fiche_158_,,,32,Plaisance,,Plaisance du Gers,La Poste,32160,38 rue de l’Adour,,,,,,La Poste,,,
RH_fiche_159_,,,31,Plaisance du Touch,,centre social Sesame,,31830,,,,,,,FIGO Centre social,,,
RH_fiche_160_,,,65,Pouyastruc,,bibliothèque,,65350,rue des écoles,,,,,,,05 62 33 67 39,bibliotheque-pouyastruc@orange.fr,
RH_fiche_161_,,,31,Puydaniel,,Solidarité Numérique CCAS,,31190,,8  avenue des Pyrénées,,,,,Mairie,05 61 50 72 44,mairiepuydaniel@wanadoo.fr,https://www.mairie-puydaniel.fr/
RH_fiche_162_,,,65,Rabastens de Bigorre,,Rabastens en Bigorre,CC Adour Madiran,65140,16 place centrale,,,,,,Collectivité,,,
RH_fiche_163_,,,65,Rabastens de Bigorre,,MSAP Pole Public des Services,,65140,16 place centrale,,,,,,,05 62 96 54 51,,
RH_fiche_164_,,,31,Ramonville,,Le pic,,,,,,,,,Association,,,
RH_fiche_165_,,,31,Ramonville,,Le F@bRiquet,,31520,14 rue Hermes,,,,PRV. ASSOCIATION,ASSOCIATION PLANETE SCIENCES OCCITANIE,,05 61 73 10 22,ariane.rudelle@planete-sciences.org,http://www.fabriquet.fr/web/
RH_fiche_166_,,,31,Rieumes,,Rieumes - CC Cœur de Garonne,Communauté de Communes Cœur de Garonne,31370,2 Place du marché à la volaille,,4329356,1 782 531,,,Collectivité,,msap@cc-coeurdegaronne.fr,
RH_fiche_167_,,,31,Rieux Volvestre,,Relais d'entreprise de RIEUX VOLVESTRE,,31310,10 rue de la Tourue de Guet,,,,PRV. SARL,SARL LES BRUNIS,,06 72 36 02 32,d.aumont@relais-d-entreprises.com,
RH_fiche_168_,,,32,Riscle,,Télécentre de Riscle,,32400,,,,,,,,,manonbonnet.gers@gmail.com,
RH_fiche_169_,,,32,Saint Clar,,prends toi en main,,32380,,,,,Association,,Association,,,
RH_fiche_170_,,,31,Saint Gaudens,,MJC / cyber-base du Saint-Gaudinois,,31800,1 place du maréchal juin,,,,,,Association,05 61 94 66 45,info@mjc-st-gaudens.org,www.mjc-st-gaudens.org
RH_fiche_171_,,,31,Saint Gaudens,,APP Comminges-Luchonnais,,31800,,,4301773,591 438,,,,,,
RH_fiche_172_,,,31,Saint Gaudens,,Club de prévention Saint Gaudens,,31800,,,,,,,Collectivités,,,
RH_fiche_173_,,,31,Saint Gaudens,,CyberBase de Saint Gaudens,,31800,,,,,,,,,,
RH_fiche_174_,,,31,Saint Gaudens,,TIERS LIEUX EN COMMINGES,,31800,1 place Maréchal Juin,,,,PRV. ASSOCIATION,MAISON DE L AVENIR COMMINGES PYRENEES,,05.61.94.66.45,julie@maisondelavenir.eu,
RH_fiche_175_,,,31,Saint Gaudens,,Cyber-base,,31800,1 Place du Marechal Juin,,430288,2 979 497,,,,,,
RH_fiche_176_,,,65,Saint Laurent de Neste,,SARAPP GRETA des Hautes-Pyrénées,,65150,,,,,,,,,,
RH_fiche_177_,,,65,Saint Laurent de Neste,,Maison du savoir,,65150,,,4281608,32 982,,,,,contact@maisondusavoir.fr,
RH_fiche_178_,,,65,Saint Laurent de Neste,,FABLAB SAPIENS,,65150,ZA Pic Pyrénées Innovation,,,,PUB. EPCI,C.C. CANTON DE ST LAURENT DE NESTE,,,maxime.lagarde@neste-barousse.fr,
RH_fiche_179_,,,65,Saint Laurent de Neste,,FABLAB SAPIENS,,65150,,,,,PUB. EPCI,CC NESTE BAROUSSE,,05 62 99 35 23 - 06 71 32 51 67,maxime.lagarde@neste-barousse.fr,
RH_fiche_180_,,,11,Saint Marcel sur Aude,,Centre Socioculturel et Familial ‘Les Passerelles’,,11120,107  avenue de Saint Pons,BP 8,,,,,FIGO Centre social,04 68 42 35 25,lespasserelles@cs-les-passerelles.fr,www.cs-les-passerelles.fr
RH_fiche_181_,,,31,Saint Orens,,CCAS,,31650,,,,,,,Mairie,,,
