rh_id,n_ref,statut_infos,departement,ville,nom,structure_porteuse,code_postal,adresse,adresse_suite,geo_lat,geo_lon,nature_juridique,type_lieu,rattachement,tel_structure,email_structure,site_internet,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,date_maj,public_toutes_actions,conditions_acces_toutes_actions,type_mediation_1,public_si_different_1,conditions_acces_si_diff_1,presta_mediation_1,type_mediation_2,public_si_different_2,conditions_acces_si_diff_2,presta_mediation_2,type_mediation_3,public_si_different_3,conditions_acces_si_diff_3,presta_mediation_3,type_mediation_4,public_si_different_4,conditions_acces_si_diff_4,presta_mediation_4,type_mediation_5,public_si_different_5,conditions_acces_si_diff_5,presta_mediation_5,code_label,wifi,precisions,lat,lon,code_public,code_mediations,code_thematique,code_departement
RH_fiche_12_,,,32,Auch,Garros Services,,32000,,,,,,,,,auch@cnlrq.org,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,43.661702,0.566383,,,,=32=
RH_fiche_13_,,,32,Auch,Promeneurs du net,,32000,,,,,,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,43.661702,0.566383,,,,=32=
RH_fiche_14_,,,32,AUCH,INNOPARC - TIERS LIEUX - MON ESPACE SOHO SOLO,,32000,Place Jean David,,,,PRV. ASSOCIATION,GERS DEVELOPPEMENT - SOHO SOLO,,06 33 88 58 76,f.bedoussac@gersdeveloppement.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,43.648046,0.585039,,,,=32=
RH_fiche_15_,,,32,AUCH,INNOPARC - FABLAB AUCH GERS,,32000,6 Rue Roland Salengro,,,,PRV. ASSOCIATION,GERS DEVELOPPEMENT,,,a.fievet@gersdeveloppement.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,43.666598,0.600594,,,,=32=
RH_fiche_16_,,,31,Auterive,Le foyer Auterive,,31190,1  place du Maréchal Leclerc ,,,,,,FIGO Centre social,,,centresocialauterive.fr,,,,,,,,Decembre 2019,,,SENS,,,,SENS,,,,ACCDA,,,,,,,,,,,,,,,43.352866,1.477881,,SENS-SENS-ACCDA,,=31=
RH_fiche_17_,,,31,Auterive,Communauté de commune bas armagnac,,31190,,,,,,,Collectivités,05 61 50 99 00,info@cc-basarmagnac.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,43.350694,1.478826,,,,=31=
RH_fiche_18_,,,31,Auterive,Médiathèque municipale,,31190,,780 Route d'Espagne,4324158,2118852,,,,05 82 95 45 75,direction.mediatheque@auterive-ville.fr mediatheque@auterive-ville.fr,,,,,,,,,Decembre 2019,,,ORD,TP,adhésion,,,,,,,,,,,,,,,,,,,,,43.350694,1.478826,TP,ORD,,=31=
RH_fiche_19_,,,31,Auterive,Communauté de communes de bassin auterivain,,31190,ZI Robert Lavigne  RD 820,,,,,,Collectivités,05 61 50 99 00,,http://annuaire.auterive31.fr/front/index.php?membre=1687,,,,,,,,Decembre 2019,,,ACCDS,TP,Libre,,COMP,Emploi,Libre,,,,,,,,,,,,,,,,,43.368673,1.445539,TP-Emploi,ACCDS-COMP,,=31=
RH_fiche_20_,,,31,AUTERIVE,Auterive - CC Bassin Auterivain,Communauté de communes,31190,Rd 820 ZI Robert Lavigne,,,,,,Collectivité,,guichetunique@ccba31.fr,,9:00 - 12:00 / 13:30 - 17:30,9:00 - 12:00 / 13:30 - 17:30,8:30 - 12:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,-,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,MFS,,,43.368673,1.445539,,,,=31=
RH_fiche_21_,,,31,AUTERIVE,TL ESPACE FIRMIN PONS,,31190,780  route d'Espagne,,,,PUB. COMMUNE,COMMUNE AUTERIVE,,05.61.50.96.87,dgs@auterive-ville.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,43.337717,1.480148,,,,=31=
RH_fiche_22_,,,65,Bagneres de Bigorre,Espace Culturel Maintenon,,65200,,,,,,,,,centre.culturel@ville-bagneresdebigorre.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,43.000505,0.130094,,,,=65=
RH_fiche_23_,,,65,BAGNERES DE BIGORRE,Haute Bigorre,CC de la Haute-Bigorre,65200,30 avenue Géruzet,,,,,,Collectivité,,,,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,-,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,MFS,,,43.068334,0.151224,,,,=65=
RH_fiche_24_,,,31,Bagnères de Luchon,31 SARLUC,,31110,,,,,,,,,31sarluc@ac-toulouse.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,42.764074,0.615959,,,,=31=
RH_fiche_25_,,,31,Bagnères de Luchon,MJC,,31110,,,4318414,2556949,,,,,luchon@mjc-midi-pyrenees.com,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,42.764074,0.615959,,,,=31=
RH_fiche_26_,,,34,BAILLARGUES,FABLAB SOUTH FACTORY - The Lab par Station M,,34670,14 Rue François Perroux,,,,PRV. ASSOCIATION,ASSOCIATION APA-LR (UIMM),,,sphilibert@uimmlr.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,43.652033,4.001931,,,,=34=
RH_fiche_27_,,,31,Balma,Foyer Expérimental Pierre Ribet,,31130,,,,,,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,43.61093,1.50334,,,,=31=
RH_fiche_28_,,,32,BARRAN,Val de Gers - Antenne de Barran,Communauté de Communes Val de Gers,32350,45 rue du Docteur G. Demandès,Mairie de Barran,,,,,Collectivité,,mairiedebarran@wanadoo.fr,,-,8:30 - 12:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00,8:30 - 12:00,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,MFS,,,43.616542,0.442847,,,,=32=
RH_fiche_29_,,,31,Belberaud,Le 100eme singe,,31450,8 route de Fourquevaux,,,,,,Association,06 17 13 65 98,lecentiemesinge@gmail.com,le100esinge.com,,,,,,,,Decembre 2019,,,Co-working,,,,,,,,,,,,,,,,,,,,,,,43.510941,1.566573,,Co-working,,=31=
RH_fiche_30_,,,32,Berrac,Gerskali / Gers numérique,,32480,,,,,,,Entreprise,,, https://www.gers-numerique.com/ ,09h - 18h,09h - 18h,09h - 18h,09h - 18h,09h - 18h,,,Decembre 2019,TP,,ORDM,,,,COMP,,payant,,ACCN,,,,,,,,,,,,,,,44.0079,0.5515,TP,ORDM-COMP-ACCN,,=32=
RH_fiche_31_,,,11,Berriac,Le Relai,,11000,,,,,,,Association,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,43.213227,2.401777,,,,=11=
RH_fiche_32_,,,31,BESSIERES,Val Aïgo - Antenne de Bessières,Communauté de communes Val'Aïgo,31660,26 Place du souvenir,,,,,,Collectivité,,cias2@valaigo.fr,,9:00 - 12:30 / 14:00 - 17:00,9:00 - 12:30 / Sur RDV : après-midi,9:00 - 12:30 / Sur RDV : après-midi,9:00 - 12:30 / Sur RDV : après-midi,9:00 - 12:30 / Sur RDV : après-midi,-,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,MFS,,,43.80075,1.606565,,,,=31=
RH_fiche_33_,,,31,Blagnac,Mairie de Blagnac,,31700,,,,,,,Mairie,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,43.638623,1.379714,,,,=31=
RH_fiche_34_,,,31,Blagnac,centre social blagnac,,,,,,,,,FIGO Centre social,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,43.638623,1.379714,,,,=31=
RH_fiche_35_,,,31,BLAGNAC,FAB MJC DES ARTS BLAGNAC,,31700,,,,,PRV. ASSOCIATION,MAISON DES JEUNES ET DE LA CULTURE DES ARTS DE BLAGNAC,,05 34 26 52 76 - 067 84 27 84 81,direction@mjc-arts-blagnac.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,43.638623,1.379714,,,,=31=
RH_fiche_36_,,,11,BRAM,Piège Lauragais Malepere,CDC PIEGE LAURAGAIS MALEPERE,11150,62 rue bonrepos,,,,,,Collectivité,,msap@ccplm.fr,,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,-,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,MFS,,,43.241583,2.118852,,,,=11=
RH_fiche_37_,,,81,BRASSAC,FABLAB DES HAUTES TERRES D’OC,,81260,Place de l'Hôtel de ville,,,,PUB. SYNDICAT MIXTE,PETR HAUTES TERRES D'OC,,,fabdoc@hautesterresdoc.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,43.629466,2.497484,,,,=81=
RH_fiche_38_,,,81,BRASSAC,FABDOC,,81260,,,,,PUB. SYNDICAT MIXTE,PETR DES HAUTES-TERRES D'OC,,05 63 74 01 29,fabdoc@hautesterresdoc.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,43.630112,2.494346,,,,=81=
RH_fiche_39_,,,46,CAHORS,LINKFAB AUZOLE,,46000,,,,,PRV. ASSOCIATION,LIGUE DE L'ENSEIGNEMENT DU LOT,,06 84 41 46 61 - 06 79 82 41 01,christelle.lopezbozonet@fol46.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,44.457503,1.43794,,,,=46=
RH_fiche_40_,,,65,Campan,Espace Public Informatique du canton de Campan,,65710,,,,,,,,,epicampan@gmail.com,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,42.97543,0.219909,,,,=65=
RH_fiche_41_,,,46,CANIAC DU CAUSSE,AMI BOIS,,46240,,,,,PRV. ASSOCIATION,,,06 61 76 63 43,amiboisasso@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,44.620508,1.642581,,,,=46=
RH_fiche_42_,,,11,Capendu,Point Cyb,,11700,,,,,,,,,cc@piemont-dalaric.org,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,43.18228,2.559202,,,,=11=
RH_fiche_43_,,,11,CAPENDU,Carcassone Agglo,CARCASSONNE AGGLO,11700,2 rue des Figuères,,,,,,Collectivité,,msap@carcassonne-agglo.fr,,8:00 - 13:00 / 14:00 - 17:00,8:00 - 13:00 / 14:00 - 17:00,8:30 - 12:00,8:00 - 13:00 / 14:00 - 17:00,8:00 - 13:00 / 14:00 - 17:00,-,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,MFS,,,43.184142,2.556949,,,,=11=
RH_fiche_44_,,,11,Carcassonne,Régie de quartier,,11000,,,,,,,Association,,carcassonne-rdq@cnlrq.org,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,43.207511,2.344538,,,,=11=
RH_fiche_45_,,,11,Carcassonne,Espace Culturel Multimédia,,11000,,,,,,,Mairie,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,43.207511,2.344538,,,,=11=
RH_fiche_46_,,,11,Carcassonne,acti city - Information Jeunesse,,11000,,,,,,,,,information.jeunesse@acticity.com,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,43.207511,2.344538,,,,=11=
RH_fiche_47_,,,11,Carcassonne,Logigames,,11000,25 boulevard de Varsovie,,,,,,Entreprise,04 68 72 67 04,logigames2001@yahoo.fr,logigames.fr,,10h – 19h,10h – 19h,10h – 19h,10h – 19h,13h - 21h,,Decembre 2019,,,ORDM,,,,ACCN,,,,,,,,,,,,,,,,,,,43.21404,2.346553,,ORDM-ACCN,,=11=
RH_fiche_48_,,,11,Carcassonne,EPCI,,,,,,,,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,43.207511,2.344538,,,,=11=
RH_fiche_49_,,,11,CARCASSONNE,R'MINE - FABLAB CARACASSONNE AGGLO,,11000,20 rue Claude CHAPPE,,,,PUB. EPCI,C.A. CARCASSONNE,,04.68.11.95.58,Denis.PETITCOLIN@carcassonne-agglo.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,43.212161,2.324602,,,,=11=
RH_fiche_50_,,,81,CARMAUX,ETC CARMAUX,,81400,,,,,PUB. EPCI,CC CARMAUSIN-SEGALA,,05 63 36 14 03 - 05 63 80 20 57 - 06 85 11 01 08,contact@3c-s.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,44.052623,2.166387,,,,=81=
RH_fiche_51_,,,34,CASTELNAU LE LEZ,LA RUCHE CASTELNAU LE LEZ,,34170,,,,,PRV. SAS,,,06 83 62 05 88,montpellier@la-ruche.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,43.637152,3.911942,,,,=34=
RH_fiche_52_,,,65,Castelnau Magnoac,EPI de Castelnau Magnoac,,65230,,,,,,,,,epi.castelnau.magnoac@wanadoo.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,43.299358,0.512045,,,,=65=
RH_fiche_53_,,,82,CASTELSARRASIN,POINT INFORMATION JEUNESSE - CYBERBASE / Promeneurs du Net 82,,82100,5  place de la liberté,,,,PUB. ETABLISSEMENT PUBLIC,CCAS DE CASTELSARRASIN,,05 63 95 11 27,aurore.gramond@crij.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,44.039662,1.107189,,,,=82=
RH_fiche_54_,,,81,CASTRES,FABLAB INNOFAB,,81100,5  Rue Firmin Oulès,,,,PRV. ASSOCIATION,ASSOCIATION INNOFAB,,,contact@innofab.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,43.623663,2.265367,,,,=81=
RH_fiche_55_,,,81,CASTRES,Centre ETIC - Le vingt-deux (Ex Atelier),,81100,22 rue Mérigonde,,,,PRV. SARL,SARL LES ATELIERS,,05 32 62 93 61 - 06.02.15.09.79,contact.sudouest@etic.co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,43.602398,2.253187,,,,=81=
RH_fiche_56_,,,32,CAUPENNE D’ARMAGNAC,SYMA DU NOUGAROPOLE,,32110,Route de Caupenne d’armagnac,,,,PUB. SYNDICAT MIXTE,SYMA,,06.72.24.16.70,florence.fos@nogaropole.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,43.77759,-0.045349,,,,=32=
RH_fiche_57_,,,65,Cauterets,Info Cyber jeunes - Association SOLEIL. PIJ,,65110,,,,,,,,,planeteicj@pyrenees.net,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,42.876467,-0.103644,,,,=65=
RH_fiche_58_,,,11,Caves,ATRIUM,,11510,,,,,,,,,atriumcaves@gmail.com,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,42.936653,2.970276,,,,=11=
RH_fiche_59_,,,82,CAYLUS,FABLAB ORIGAMI,,82160,6 bis rue du long,,,,PUB. COMMUNE,COMMUNE DE CAYLUS,,05 63 28 10 36,contact.fablab@caylus.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,44.236423,1.772986,,,,=82=
RH_fiche_60_,,,31,Cazères, Maison Pour tous,,31220,6 rue des Capucins,,4385028,0 661762,,,FIGO Centre social,,,www.mptcazeres.fr,,,,,,,,Decembre 2019,TP,Libre,COMP,,,,ORDM,,,,,,,,,,,,,,,,,,,43.202236,1.082897,TP,COMP-ORDM,,=31=
RH_fiche_61_,,,31,Cintegabelle,Foyer rural «  La Gabela »,,31550,mairie,,,,,,Foyers ruraux ,,,,,,,,,,,Decembre 2019,TP,Libre,COMP,,,,,,,,,,,,,,,,,,,,,,,43.271251,1.558481,TP,COMP,,=31=
RH_fiche_62_,,,31,Clarac,foyer rural Clarac,,31210,Chemin de Sainte Anne,,,,,,Association,05 61 89 70 64,foyer-rural-clarac@orange.fr,http://www.foyerruralclarac.org/accueil.html,,,,,,,,Decembre 2019,,,COMP,TP,Libre,,,,,,,,,,,,,,,,,,,,,43.097627,0.621318,TP,COMP,,=31=
RH_fiche_63_,,,34,CLARET,ATELIER DE CLARET,,34270,64 Avenue du Nouveau Monde,,,,PRV. ASSOCIATION,ATELIER DE CLARET,,06 46 51 69 08,latelierdeclaret@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,43.86017,3.906449,,,,=34=
RH_fiche_64_,,,32,Cologne,Association Arcolan,,32430,,,,,,,FIGO Centre social,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,43.722523,0.980098,,,,=32=
RH_fiche_65_,,,32,Cologne,MSAP Cologne,,32430,Route d'Ardizas,,,,,,MSAP,05 62 05 13 61,msap@ccbl32.fr,https://www.maisondeservicesaupublic.frcontent/bastides-de-lomagne ,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,43.689455,0.913974,,,,=32=
RH_fiche_66_,,,32,COLOGNE,LE SITE,,32430,Route de Sarrant,,,,PRV. SAS,LE SITE,,06 08 51 33 42,philippe.jaubert32@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,43.772761,0.929893,,,,=32=
RH_fiche_67_,,,31,Colomiers,Mairie,,31770,,,,,,,Mairie,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,43.610367,1.329544,,,,=31=
RH_fiche_68_,,,31,Colomiers,CCAS,,31776,,,,,,,Mairie,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,43.610367,1.329544,,,,=31=
RH_fiche_69_,,,31,COLOMIERS,LA MIJOTEUSE,,31770,Place Joseph Verseille,,,,PUB. COMMUNE,COMMUNE DE COLOMIERS,,06.38.50.65.31.,christine.gouaux@mairie-colomiers.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,43.609585,1.339368,,,,=31=
RH_fiche_70_,,,32,Condom,Centre Social de la Ténarèze,,32100,28 rue Gambetta,,,,,,FIGO Centre social,,,,,,,,,,,Decembre 2019,,,COMP,SEN,,,,,,,,,,,,,,,,,,,,,,43.957361,0.37465,SEN,COMP,,=32=
RH_fiche_71_,,,81,CUQ TOULZA,LA CELLULE,,81470,,,,,PUB. EPCI,CC SOR ET AGOUT,,05 63 72 84 84,soretagout@wanadoo.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,43.559183,1.87853,,,,=81=
RH_fiche_72_,,,11,Fabrezan,Mediatheque Milcom de Fabrezan,,,,,,,,,Collectivités,04 68 43 71 92,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,43.126783,2.713806,,,,=11=
RH_fiche_73_,,,31,Fenouillet ,Association Femmes du Monde,,31150,,,,,,,FIGO Centre social,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,43.686369,1.391582,,,,=31=
RH_fiche_74_,,,46,FIGEAC,ESPACE MEDIATION NUMERIQUE FIGEAC,,46100,,,,,PUB. EPCI,CC GRAND FIGEAC,,05 65 11 22 76 - 05 65 11 47 51,calfatech@grand-figeac.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,44.607133,2.026612,,,,=46=
RH_fiche_75_,,,46,FIGEAC,FABLAB FIGEAC,,46100,35 allées Victor Hugo,,,,PUB. EPCI,C.C GRAND FIGEAC,,,secretariat.general@grand-figeac.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,44.606468,2.036862,,,,=46=
RH_fiche_76_,,,32,Fleurance,Bibliothèque municipale,,32500,100 rue Pasteur,,,,,,Collectivités,05 62 06 18 96,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,43.850759,0.664174,,,,=32=
RH_fiche_77_,,,32,Fleurance,Mairie,,32500,,,,,,,Mairie,05 62 06 10 01,,https://www.villefleurance.fr/,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,43.842691,0.656247,,,,=32=
RH_fiche_78_,,,32,FLEURANCE,Fleurance,Commune de Fleurance,32500,62 Rue Adolphe Cadéot,,,,,,Collectivité,,ccas.compta@villefleurance.fr,,8:30 - 12:30 / 13:30 - 17:00,8:30 - 12:30 / 13:30 - 17:00,8:30 - 12:30 / 13:30 - 17:00,8:30 - 12:30 / 13:30 - 17:00,8:30 - 12:30 / 13:30 - 16:30,-,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,MFS,,,43.850282,0.661762,,,,=32=
RH_fiche_79_,,,32,FLEURANCE,FABLAB C.C LOMAGNE GERSOISE - LIR,,32500,8 Avenue Pierre de Coubertin,,,,PUB. EPCI,C.C LOMAGNE GERSOISE,,,pole21@lomagne-gersoise.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,43.850519,0.665674,,,,=32=
RH_fiche_80_,,,09,FOIX,FLAME,,9000,2 rue Jean Moulin,,,,PUB. ETABLISSEMENT PUBLIC,CMA ARIEGE,,05 34 09 88 00,g.roux@cm-ariege.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,48.002611,-4.097433,,,,=09=
RH_fiche_81_,,,81,GAILLAC,LA GRAPPE BY GRANILIA,,81600,42 av. de l’Europe,,,,PRV. ASSOCIATION,GRANILIA,,05 63 83 09 30 - 05.63.57.46.46,contact@granilia.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,43.900777,1.871915,,,,=81=
RH_fiche_82_,,,65,GALAN,Galan,,65330,1 Place de la Bastide,,,,,,,,,,,,,,,,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,MFS,,,43.222512,0.406892,,,,=65=
RH_fiche_83_,,,34,GIGNAC,FABLAB VALLEE DE L'HERAULT,,34150,,,,,PUB. EPCI,CC VALLEE DE L HERAULT,,04 67 57 04 50,fabrice.souchay@cc-vallee-herault.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,43.644223,3.567481,,,,=34=
RH_fiche_84_,,,46,GOURDON,ESPACE MEDIATION NUMERIQUE GOURDON,,46300,,,,,PUB. EPCI,CC QUECRY BOURIANE,,05 65 37 23 70,ccqb.eco@orange.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,44.740478,1.368702,,,,=46=
RH_fiche_85_,,,46,GOURDON,POLE NUMERIQUE - TECH F@CTORY,,46300,98 avenue Gambetta,,,,PUB. EPCI,C.C. QUERCY BOURIANE,,,ccqb.eco@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,44.739162,1.389239,,,,=46=
RH_fiche_86_,,,81,GRAUHLET,FABLAB CREALAB,,81300,4 Avenue Maréchal Juin,,,,PRV. ASSOCIATION,ASSOCIATION MJC DE GRAULHET,,,direction@mjcgraulhet.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,43.760201,1.969259,,,,=81=
RH_fiche_87_,,,65,JEZEAU,FABLAB LA SOULANE,,65240,,,,,PRV. ASSOCIATION,ASSOCIATION LA SOULANE,,06 21 98 56 71,soulane.asso@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,,,42.903374,0.368064,,,,=65=
