rh_id,departement,ville,nom,num_ref_struct,code_postal,adresse,adresse_suite,geo_,geo_bis,type_structure,rattachement,telephone_structure,email_structure,site_internet,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,date_maj,public_actions,conditions_acces,type_mediation,public_si_different,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
RH_fiche_16_,31,Toulouse,CCAS,,31000,2 bis rue de belfort,,,,,Mairie,05 61 58 85 85,,,,,,,,,,Decembre 2019,,,,,43.608668,1.452002,2 bis Rue de Belfort 31000 Toulouse,0.97,housenumber,31555_1000_00002_bis,2 bis,Rue de Belfort,,31000,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_17_,31,Toulouse,Centre d'Animation Soupetard,,31000,,,,,,,,,,,,,,,,,Decembre 2019,,,,,43.60783,1.420301,Rue Cance 31000 Toulouse,0.32,street,31555_1620,,Rue Cance,,31000,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_18_,31,Toulouse,MediPass,,31000,,,,,,,,medipass@free.fr,,,,,,,,,Decembre 2019,,,,,43.60783,1.420301,Rue Cance 31000 Toulouse,0.32,street,31555_1620,,Rue Cance,,31000,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_19_,31,Toulouse,SAVIF,,31000,,,,,,,,savifs@free.fr,,,,,,,,,Decembre 2019,,,,,43.60783,1.420301,Rue Cance 31000 Toulouse,0.32,street,31555_1620,,Rue Cance,,31000,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_20_,31,Toulouse,CPAM Bagatelle,,31100,33 rue du Lot,,,,,CPAM,,,ameli.fr,,,,,,,,Decembre 2019,,,ORDM,,43.580461,1.410717,33 Rue du Lot 31100 Toulouse,0.97,housenumber,31555_5340_00033,33,Rue du Lot,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_21_,31,Toulouse,Partage Faourette,,31100,13 rue de l'ukraine,,,,,FIGO Centre social,05 34 60 13 16,,,,,,,,,,Decembre 2019,,,ORDM,,43.579038,1.414906,13 Rue de l'Ukraine 31100 Toulouse,0.97,housenumber,31555_8658_00013,13,Rue de l'Ukraine,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_22_,31,Toulouse,Pôle Emploi La Cepiere,,31100,4 Chemin du Pigeonnier de Cepière,,,,,Pôle Emploi,39 49,,www.pole-emploi.fr,,,,,,,,Decembre 2019,,,ORDM,,43.586132,1.400742,4 Chemin du Pigeonnier de la Cépière 31100 Toulouse,0.9,housenumber,31555_6926_00004,4,Chemin du Pigeonnier de la Cépière,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_23_,31,Toulouse,"Pôle Emploi
Bellefontaine",,31100,63 allées de Bellefontaine,,,,,Pôle Emploi,39 49,,www.pole-emploi.fr,,,,,,,,Decembre 2019,,,ORDM,,43.565759,1.399923,63 Allée de Bellefontaine 31100 Toulouse,0.88,housenumber,31555_1009_00063,63,Allée de Bellefontaine,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_24_,31,Toulouse,APSEM,,31100,3 rue Erik SATIE BP 35711,31057 Toulouse cedex 1,,,,Association,05 34 60 39 40,apsem2@wanadoo.fr,http://apsem-formation.fr/,8H - 17 h ,8H - 17 h ,8H - 17 h ,8H - 17 h ,8H - 17 h ,8H - 17 h ,,Decembre 2019,,,COMP,,43.568096,1.404642,3 Rue Erik Satie 31100 Toulouse,0.69,housenumber,31555_3034_00003,3,Rue Erik Satie,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_25_,31,Toulouse,Bell'Arc en Ciel,,31100,14 passage G Duhamel,Apt 299,,,,Association,09 66 82 55 84,assobellarcenciel@gmail.com,,,,,,,,,Decembre 2019,,,ACCDS,,43.563623,1.394212,14 Passage Georges Duhamel 31100 Toulouse,0.74,housenumber,31555_3849_00014,14,Passage Georges Duhamel,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_26_,31,Toulouse,Maison des Solidarites,,31100,9 rue du Doyen Lefebvre,,,,,Conseil Départemental,,,,,,,,,,,Decembre 2019,,,ACCDS,,43.566876,1.396803,9 Rue du Doyen Lefebvre 31100 Toulouse,0.97,housenumber,31555_2766_00009,9,Rue du Doyen Lefebvre,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_27_,31,Toulouse,Regie de quartier Bellefontaine Services,,31100,41 rue Rimont,,,,,Association,09 53 17 88 71,bellefontaine.toulouse@cnlrq.org,www.bellefontaine-services.com,,,,,,,,Decembre 2019,,,ACCN,,43.56091,1.404452,Rue de Rimont 31100 Toulouse,0.71,street,31555_7480,,Rue de Rimont,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_28_,31,Toulouse,Conciergerie solidaire Desbals services,,31100,135 rue henri desbals,,,,,Association,05 62 14 12 55,desbals-services@wanadoo.fr,,,,,,,,,Decembre 2019,,,ACCN,,43.581193,1.413177,135 Rue Henri Desbals 31100 Toulouse,0.97,housenumber,31555_4140_00135,135,Rue Henri Desbals,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_29_,31,Toulouse,Les imaginations fertiles,,31100,,,,,,Association,05 61 40 92 16,,,,,,,,,,Decembre 2019,,,,,43.588608,1.421331,Rue Mozart 31100 Toulouse,0.3,street,31555_6148,,Rue Mozart,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_30_,31,Toulouse,Assos,,31100,,,,,,Association,,,,,,,,,,,Decembre 2019,,,,,43.588608,1.421331,Rue Mozart 31100 Toulouse,0.3,street,31555_6148,,Rue Mozart,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_31_,31,Toulouse,"Regie de quartier
Reynerie Services",,31100,14 avenue  Winston Churchill,,,,,Association,,reynerie-toulouse@cnlrq.org,www.reynerie-services.com,,,,,,,,Decembre 2019,,,,,43.57025,1.402023,14 Avenue Winston Churchill 31100 Toulouse,0.97,housenumber,31555_8962_00014,14,Avenue Winston Churchill,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_32_,31,Toulouse,Asso,,31100,,,,,,Association,,,,,,,,,,,Decembre 2019,,,,,43.588608,1.421331,Rue Mozart 31100 Toulouse,0.3,street,31555_6148,,Rue Mozart,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_33_,31,Toulouse,Alliances et Cultures MUP,,31100,14 chemin du Mirail,,,,,Association,05 61 44 67 63,accueil.mup@alliancesetcultures.org,,,,,,,,,Decembre 2019,,,,,43.58124,1.400011,14 Chemin du Mirail 31100 Toulouse,0.97,housenumber,31555_5976_00014,14,Chemin du Mirail,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_34_,31,Toulouse,Mission Locale Mirail,,31100,,,,,,Association,,,,,,,,,,,Decembre 2019,,,,,43.588608,1.421331,Rue Mozart 31100 Toulouse,0.3,street,31555_6148,,Rue Mozart,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_35_,31,Toulouse,Lien horizon danse,,31100,,,,,,Association,,,,,,,,,,,Decembre 2019,,,,,43.588608,1.421331,Rue Mozart 31100 Toulouse,0.3,street,31555_6148,,Rue Mozart,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_36_,31,Toulouse,Maison de l'initiative,,31100,,,,,,Association, 05 34 63 81 10 ,,,,,,,,,,Decembre 2019,,,,,43.588608,1.421331,Rue Mozart 31100 Toulouse,0.3,street,31555_6148,,Rue Mozart,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_37_,31,Toulouse,N pays Okhan,,31100,,,,,,Association,,,,,,,,,,,Decembre 2019,,,,,43.588608,1.421331,Rue Mozart 31100 Toulouse,0.3,street,31555_6148,,Rue Mozart,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_38_,31,Toulouse,Parle avec elles,,31100,2 rue Jean Gilles,,,,,Association,,,,,,,,,,,Decembre 2019,,,,,43.572437,1.401823,2 Rue Jean Gilles 31100 Toulouse,0.97,housenumber,31555_4582_00002,2,Rue Jean Gilles,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_39_,31,Toulouse,L'Ecole et Nous,,31100,10 cheminement Le Tintoret,,,,,Association,,assoecoleetnous@gmail.com,www.ecoleetnous.wixsite.com,,,,,,,,Decembre 2019,,,,,43.561224,1.398586,10 Cheminement le Tintoret 31100 Toulouse,0.97,housenumber,31555_8435_00010,10,Cheminement le Tintoret,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_40_,31,Toulouse,Bas d'immeubles,,31100,3 chemin Vincent d'Indy,,,,,Association,05.62.14.19.70 / 09 72 83 40 47,bas.im@wanadoo.fr,,,,,,,,,Decembre 2019,,,,,43.570219,1.406308,3 Cheminement Vincent d'Indy 31100 Toulouse,0.78,housenumber,31555_8897_00003,3,Cheminement Vincent d'Indy,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_41_,31,Toulouse,Voir et comprendre,,31100,,,,,,Association,,voir.comprendre@voiretcomprendre.fr,,,,,,,,,Decembre 2019,,,,,43.588608,1.421331,Rue Mozart 31100 Toulouse,0.3,street,31555_6148,,Rue Mozart,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_42_,31,Toulouse,Centre social municipal Bellefontaine Lafourguette,,31100,3 impasse Foulquier,,,,,Centre social,,,,,,,,,,,Decembre 2019,,,,,43.565354,1.40215,3 Impasse François Foulquier 31100 Toulouse,0.72,housenumber,31555_3506_00003,3,Impasse François Foulquier,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_43_,31,Toulouse,Centre social alliances & Cultures Mirail rive droite,,31100,2 cheminement andré messager,,,,,Centre social,05 61 44 67 63,,,,,,,,,,Decembre 2019,,,,,43.572773,1.406215,Cheminement André Messager 31100 Toulouse,0.91,street,31555_0318,,Cheminement André Messager,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_44_,31,Toulouse,"Centre social
CAF Reynerie",,31100,15 place Abbal,,,,,Centre social,,,,,,,,,,,Decembre 2019,,,,,43.571282,1.402395,15 Place André Abbal 31100 Toulouse,0.75,housenumber,31555_0287_00015,15,Place André Abbal,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_45_,31,Toulouse,Espaces Seniors Connectes,,31100,14 place Abbal,,,,,Collectivites,,,,,,,,,,,Decembre 2019,,,,,43.571328,1.401353,14 Place André Abbal 31100 Toulouse,0.75,housenumber,31555_0287_00014,14,Place André Abbal,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_46_,31,Toulouse,PIJ Mirail,,31100,6 chemin Edgar Varese,,,,,,05 61 72 45 37,mespij.toulouse@crij.org,www.ij-mirail.org,,,,,,,,Decembre 2019,,,,,43.573614,1.40405,6 Cheminement Edgard Varèse 31100 Toulouse,0.7,housenumber,31555_2874_00006,6,Cheminement Edgard Varèse,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
,31,,Association Diapason,,31100,,,,,,,,,,,,,,,,,Decembre 2019,,,,,43.588608,1.421331,Rue Mozart 31100 Toulouse,0.3,street,31555_6148,,Rue Mozart,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_48_,31,Toulouse,PIJ,,31100,,,,,,,,,,,,,,,,,Decembre 2019,,,,,43.588608,1.421331,Rue Mozart 31100 Toulouse,0.3,street,31555_6148,,Rue Mozart,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_49_,31,Toulouse,MCEF,,31100,57 allées de Bellefontaine,,,,,,,,,,,,,,,,Decembre 2019,,,,,43.565245,1.400657,57 Allée de Bellefontaine 31100 Toulouse,0.88,housenumber,31555_1009_00057,57,Allée de Bellefontaine,,31100,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_50_,31,Bagnères de Luchon,31 SARLUC,,31110,,,,,,,,31sarluc@ac-toulouse.fr,,,,,,,,,Decembre 2019,,,,,42.74972,0.502913,Oô,0.53,municipality,31404,,Oô,,31110,Oô,"31, Haute-Garonne, Occitanie",31404,,,
RH_fiche_51_,31,Bagnères de Luchon,MJC,,31110,,,,,,,,luchon@mjc-midi-pyrenees.com,,,,,,,,,Decembre 2019,,,,,42.74972,0.502913,Oô,0.53,municipality,31404,,Oô,,31110,Oô,"31, Haute-Garonne, Occitanie",31404,,,
RH_fiche_52_,31,Balma,Foyer Expérimental Pierre Ribet,,31130,,,,,,,,,,,,,,,,,Decembre 2019,,,,,43.61093,1.50334,Balma,0.4,municipality,31044,,Balma,,31130,Balma,"31, Haute-Garonne, Occitanie",31044,,,
RH_fiche_53_,31,Fenouillet ,Association Femmes du Monde,,31150,,,,,,FIGO Centre social,,,,,,,,,,,Decembre 2019,,,,,43.725842,1.41142,Bruguières,0.28,municipality,31091,,Bruguières,,31150,Bruguières,"31, Haute-Garonne, Occitanie",31091,,,
RH_fiche_54_,31,Arbas ,Bibliothèque municipale,,31160,,,,,,,,,,,,,,,,,Decembre 2019,,,,,43.013949,0.80851,Aspet,0.39,municipality,31020,,Aspet,,31160,Aspet,"31, Haute-Garonne, Occitanie",31020,,,
RH_fiche_55_,31,Tournefeuille,Mediatheque Tournefeuille,,31170,3 impasse Max Baylac,,,,,Mairie,05 62 13 21 78,ecm@mairie-tournefeuille.fr,http://www.mairie-tournefeuille.fr/,,,,,,,,Decembre 2019,,,,,43.582698,1.347727,3 Impasse Max Baylac 31170 Tournefeuille,0.95,housenumber,31557_2650_00003,3,Impasse Max Baylac,,31170,Tournefeuille,"31, Haute-Garonne, Occitanie",31557,,,
RH_fiche_56_,31,Auterive,Le foyer Auterive,,31190,1  place du Maréchal Leclerc ,,,,,FIGO Centre social,,,centresocialauterive.fr,,,,,,,,Decembre 2019,,,SENS,,43.352866,1.477881,1 Place du Marechal Leclerc 31190 Auterive,0.95,housenumber,31033_0160_00001,1,Place du Marechal Leclerc,,31190,Auterive,"31, Haute-Garonne, Occitanie",31033,,,
RH_fiche_57_,31,Auterive,Communauté de commune bas armagnac,,31190,,,,,,Collectivités,05 61 50 99 00,info@cc-basarmagnac.fr,,,,,,,,,Decembre 2019,,,,,43.373283,1.445273,Moles 31190 Auterive,0.4,street,31033_zpkums,,Moles,,31190,Auterive,"31, Haute-Garonne, Occitanie",31033,,,
RH_fiche_58_,31,Puydaniel,Solidarité Numérique CCAS,,31190,,8  avenue des Pyrénées ,,,,Mairie,05 61 50 72 44, mairiepuydaniel@wanadoo.fr,https://www.mairie-puydaniel.fr/,,,,,,,,Decembre 2019,TP,Libre,ORDM,,43.373283,1.445273,Moles 31190 Auterive,0.4,street,31033_zpkums,,Moles,,31190,Auterive,"31, Haute-Garonne, Occitanie",31033,,,
RH_fiche_59_,31,Miremont,Médiathèque ,,31190,,Place Carreties,,,,,05 61 50 67 05,biblio.miremont@wanadoo.fr ,,,,,,,,,Decembre 2019,,,ORD,Habitants,43.373283,1.445273,Moles 31190 Auterive,0.4,street,31033_zpkums,,Moles,,31190,Auterive,"31, Haute-Garonne, Occitanie",31033,,,
RH_fiche_60_,31,Auterive,Médiathèque municipale,,31190,,780 Route d'Espagne,,,,,05 82 95 45 75,direction.mediatheque@auterive-ville.fr mediatheque@auterive-ville.fr,,,,,,,,,Decembre 2019,,,ORD,TP,43.373283,1.445273,Moles 31190 Auterive,0.4,street,31033_zpkums,,Moles,,31190,Auterive,"31, Haute-Garonne, Occitanie",31033,,,
RH_fiche_61_,31,Auterive,Communauté de communes de bassin auterivain,,31190,ZI Robert Lavigne  RD 820,,,,,Collectivités,05 61 50 99 00,,http://annuaire.auterive31.fr/front/index.php?membre=1687,,,,,,,,Decembre 2019,,,ACCDS,TP,43.368673,1.445539,Zone Industrielle Lavigne 31190 Auterive,0.3,street,31033_eiy6p3,,Zone Industrielle Lavigne,,31190,Auterive,"31, Haute-Garonne, Occitanie",31033,,,
RH_fiche_62_,31,Toulouse,MDS Borderouge,,31200,4 rue françoise d'eaubonne,Bat A,,,,Conseil Départemental,05 34 36 17 00,,,,,,,,,,Decembre 2019,,,ORD,,43.642506,1.453359,4 Rue Françoise d'Eaubonne 31200 Toulouse,0.97,housenumber,31555_3549_00004,4,Rue Françoise d'Eaubonne,,31200,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_63_,31,Toulouse,La fabrique solidaire,,31200,local des Mazades 29 bis avenue des Mazades,,,,,Association,05 61 25 38 28,,www.lafabriquesolidaire.org,9h30 - 12h30 et 13h30 - 17h,9h30 - 12h30 et 13h30 - 17h,9h30 - 12h30 et 13h30 - 17h,9h30 - 12h30 et 13h30 - 17h,9h30 - 12h30 et 13h30 - 17h,9h30 - 12h30 et 13h30 - 17h,,Decembre 2019,,,ORDM,,43.623129,1.441383,29 bis Avenue des Mazades 31200 Toulouse,0.63,housenumber,31555_5848_00029_bis,29 bis,Avenue des Mazades,,31200,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_64_,31,Toulouse,Pole Emploi Borderouge,,31200,6 rue françoise d'eaubonne,Bat C,,,,Pôle Emploi,,,www.pole-emploi.fr,,,,,,,,Decembre 2019,,,ORDM,,43.643232,1.453016,6 Rue Françoise d'Eaubonne 31200 Toulouse,0.97,housenumber,31555_3549_00006,6,Rue Françoise d'Eaubonne,,31200,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_65_,31,Toulouse,Parole expression,,31200,19 rue Marc Arcis,,,,,Association,05 82 95 67 80,,paroleexpression.fr,,,,,,,,Decembre 2019,Etranger,,ACCDA,,43.623632,1.43616,19 Rue Marc Arcis 31200 Toulouse,0.97,housenumber,31555_5588_00019,19,Rue Marc Arcis,,31200,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_66_,31,Toulouse,MDS Minimes,,31200,33 rue joseph jacquard,,,,,Conseil Départemental,05 62 72 77 80,,,,,,,,,,Decembre 2019,,,ACCDA,,43.623466,1.427715,33 Rue Joseph Jacquard 31200 Toulouse,0.97,housenumber,31555_4756_00033,33,Rue Joseph Jacquard,,31200,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_67_,31,Toulouse,Secours populaire,,31200,147 avenue des etats unis,,,,,Association,05 34 40 34 40,,,,,,,,,,Decembre 2019,,,,,43.63554,1.43059,147 Avenue des Etats Unis 31200 Toulouse,0.97,housenumber,31555_3104_00147,147,Avenue des Etats Unis,,31200,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_68_,31,Toulouse,Secours catholique,,31200,place du marche aux cochons,,,,,Association,05 34 25 67 40,,,,,,,,,,Decembre 2019,,,,,43.620334,1.435406,Place du Marché aux Cochons 31200 Toulouse,0.97,street,31555_5632,,Place du Marché aux Cochons,,31200,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_69_,31,Toulouse,PIJ Quartier Nord,,31200,118 Boulevard Pierre et Marie Curie,,,,,Association,05 62 72 23 78,cyberbasetoulousenord@orange.fr,http://www.pijtoulousenord.org,,,,,,,,Decembre 2019,,,,,43.626305,1.43686,118 Boulevard Pierre et Marie Curie 31200 Toulouse,0.97,housenumber,31555_6880_00118,118,Boulevard Pierre et Marie Curie,,31200,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_70_,31,Toulouse,Entr'act solidarite,,31200,148 avenue de fronton,,,,,Association,05 61 55 59 26,,,,,,,,,,Decembre 2019,,,,,43.637631,1.433421,148 Avenue de Fronton 31200 Toulouse,0.97,housenumber,31555_3620_00148,148,Avenue de Fronton,,31200,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_71_,31,Toulouse,Mission Locale Antenne quartier nord,,31200,1 rue ernest renan,,,,,Association,05 61 57 59 92,,,,,,,,,,Decembre 2019,,,,,43.628251,1.445023,Rue Ernest Renan 31200 Toulouse,0.89,street,31555_3044,,Rue Ernest Renan,,31200,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_72_,31,Toulouse,Centre social Alliances & Cultures Cap Nord,,31200,12 rue Clouet,,,,,Centre social,05 61 13 35 96,alliancesetculturesnord@yahoo.fr,www.alliancesetcultures.ouvaton.org,,,,,,,,Decembre 2019,,,,,43.631471,1.43278,12 Rue Marcel Clouet 31200 Toulouse,0.71,housenumber,31555_5604_00012,12,Rue Marcel Clouet,,31200,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_73_,31,Toulouse,CCPS et CARMI,,31200,44 chemin des izards,,,,,Centre social,05 62 72 48 50,clshp@ccpst.org carmi@ccpst.org,,,,,,,,,Decembre 2019,,,,,43.639736,1.4445,44 Chemin des Izards 31200 Toulouse,0.97,housenumber,31555_4380_00044,44,Chemin des Izards,,31200,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_74_,31,Toulouse,Alliances et Cultures Les Troênes,,31200,69 rue des Troênes,,,,,Centre social,05 61 57 14 71,,,,,,,,,,Decembre 2019,,,,,43.617705,1.414786,69 Rue des Troènes 31200 Toulouse,0.97,housenumber,31555_8588_00069,69,Rue des Troènes,,31200,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_75_,31,Toulouse,Antenne CCPS Picarel,,31200,26 allées Django Reinhard,,,,,Centre social,05 61 70 45 62,,,,,,,,,,Decembre 2019,,,,,43.648485,1.410764,Allée Django Reinhardt 31200 Toulouse,0.72,street,31555_2671,,Allée Django Reinhardt,,31200,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
RH_fiche_76_,31,Toulouse,Antenne CCPS Les Chênes,,31200,49 rue des mésanges,,,,,Centre social,05 62 75 46 29,,,,,,,,,,Decembre 2019,,,,,43.660754,1.411986,49 Rue des Mésanges 31200 Toulouse,0.97,housenumber,31555_5898_00049,49,Rue des Mésanges,,31200,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
